bussinessZones,city,cityPositionCounts,companyName,companySize,district,education,financeStage,industryField,positionID,positionLables,positionName,positionType1,postionType2,salary,workYear
NULL,北京,1066,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",4022061,"['大数据', '数据挖掘']",保险业务-数据分析师,产品/需求/项目类,数据分析,15k-30k,3-5年
"['五道口', '清华大学', '中关村']",北京,1066,人人贷商务顾问（北京）有限公司,500-2000人,海淀区,本科,A轮,金融,4088162,"['金融', '数据挖掘']",高级数据分析师,产品/需求/项目类,数据分析,15k-30k,3-5年
['德胜门'],北京,1066,北京国脉时空大数据科技有限公司,15-50人,西城区,不限,不需要融资,"企业服务,数据服务",3893528,[],数据分析师,开发/测试/运维类,数据开发,10K-20K,3-5年
['亚运村'],北京,1066,杭州橙鹰数据技术有限公司,150-500人,朝阳区,本科,不需要融资,数据服务,4089303,"['安全', '大数据', '数据挖掘']",数据分析/挖掘专家,产品/需求/项目类,数据分析,20K-35K,1-3年
"['白石桥', '魏公村', '北下关']",北京,1066,狮桥融资租赁（中国）有限公司,500-2000人,海淀区,本科,B轮,金融,4022513,"['运营', '建模', 'SPSS']",数据分析员,运营/编辑/客服,运营,6k-12k,1-3年
"['上地', '马连洼', '西二旗']",北京,1066,链家网（北京）科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,O2O",4080405,"['房产服务', 'growth hacking', '大数据', '数据挖掘']",数据分析师 - 增长方向,产品/需求/项目类,数据分析,25k-50k,不限
['王府井'],北京,1066,银湖网络科技有限公司,2000人以上,东城区,本科,上市公司,"金融,移动互联网",3472528,['金融'],数据分析经理,产品/需求/项目类,数据分析,20k-30k,3-5年
NULL,北京,1066,北京搜狗科技发展有限公司,2000人以上,NULL,本科,C轮,"移动互联网,数据服务",2504533,['工具软件'],网页搜索-高级数据分析师,产品,产品经理,15k-30k,3-5年
"['上地', '马连洼', '西二旗']",北京,1066,车好多旧机动车经纪(北京)有限公司,2000人以上,海淀区,本科,B轮,O2O,3873006,"['大数据', '数据挖掘']",高级数据分析师,开发/测试/运维类,数据开发,18k-28k,3-5年
['中关村'],北京,1066,北京公瑾科技有限公司,500-2000人,海淀区,大专,B轮,"移动互联网,电子商务",4050371,"['运营', '大数据', '数据挖掘', 'SPSS']",数据分析经理,运营/编辑/客服,运营,15K-30K,3-5年
['望京'],北京,1066,优舫（北京）信息科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"电子商务,移动互联网",3331056,"['中级', '大数据', '数据挖掘', 'SPSS']",高级数据分析师,开发/测试/运维类,数据开发,20k-25k,3-5年
"['团结湖', '三里屯', '工体']",北京,1066,信和惠民投资管理（北京）有限公司,2000人以上,朝阳区,本科,不需要融资,"移动互联网,金融",3108218,"['金融', '高级', '大数据', '数据挖掘']",数据分析师（总部）,产品/需求/项目类,数据分析,10k-20k,3-5年
"['西北旺', '上地', '马连洼']",北京,1066,北京嘀嘀无限科技发展有限公司,2000人以上,海淀区,本科,不需要融资,移动互联网,3932415,['BI'],数据分析师,产品/需求/项目类,数据分析,30k-50k,5-10年
"['望京', '来广营']",北京,1066,北京拉手网络技术有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,电子商务",3299235,"['大数据', '数据挖掘', 'SPSS', '用户研究']",高级数据分析师,运营/编辑/客服,运营,15k-25k,3-5年
"['西北旺', '马连洼', '上地']",北京,1066,网易（杭州）有限公司,2000人以上,海淀区,硕士,上市公司,"电子商务,移动互联网",3499572,"['支付', '资深', '高级', 'SPSS']",数据分析师（lsht）,开发/测试/运维类,数据开发,18k-25k,3-5年
"['望京', '来广营', '望京', '来广营', '望京', '来广营']",北京,1066,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",3900137,"['大数据', 'SPSS', 'sas']",高级数据分析师,产品/需求/项目类,数据分析,20k-30k,3-5年
NULL,北京,1066,百度在线网络技术（北京）有限公司,2000人以上,海淀区,硕士,不需要融资,"移动互联网,数据服务",3992007,"['数据挖掘', 'SQL', '机器学习']",资深数据分析师,开发/测试/运维类,数据开发,25k-45k,3-5年
NULL,北京,1066,北京京东世纪贸易有限公司,2000人以上,大兴区,不限,上市公司,电子商务,3034998,"['电商', '业务运营', '数据挖掘', '用户研究']",高级数据分析师,产品/需求/项目类,数据分析,15k-25k,3-5年
"['五道口', '清华大学', '中关村']",北京,1066,人人贷商务顾问（北京）有限公司,500-2000人,海淀区,本科,A轮,金融,3862806,"['金融', '数据挖掘', 'SPSS']",BI分析师/数据分析师,产品/需求/项目类,数据分析,15k-30k,1-3年
"['中关村', '万泉河', '苏州街']",北京,1066,上海基分文化传播有限公司,500-2000人,海淀区,本科,不需要融资,移动互联网,4011016,"['大数据', '数据挖掘', 'BI']",高级数据分析,产品/需求/项目类,数据分析,20k-35k,3-5年
NULL,北京,1066,北京京东世纪贸易有限公司,2000人以上,大兴区,本科,上市公司,"电子商务,数据服务",3929679,"['风控', '策略', '建模']",数据分析师,开发/测试/运维类,数据开发,15k-25k,1-3年
['清河'],北京,1066,北京比特大陆科技有限公司,150-500人,海淀区,本科,不需要融资,"移动互联网,硬件",3311874,"['专员', '业务运营', '数据挖掘', 'SPSS', 'sas']",数据分析,产品/需求/项目类,数据分析,8k-14k,1-3年
"['团结湖', '三里屯', '工体']",北京,1066,北京瓴岳信息技术有限公司,150-500人,朝阳区,硕士,不需要融资,"移动互联网,金融",4087210,"['金融', '数据挖掘', 'SPSS']",数据分析工程师,开发/测试/运维类,数据开发,15k-30k,1-3年
"['花乡', '花乡', '丰台体育馆', '世界公园', '丰台体育馆', '世界公园']",北京,1066,信和惠民投资管理（北京）有限公司,2000人以上,丰台区,本科,不需要融资,"移动互联网,金融",3532429,"['大数据', '数据挖掘', 'SPSS', 'sas', '数据管理']",数据分析师,产品/需求/项目类,数据分析,10k-15k,1-3年
